State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Ashoknagar,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,6.2,6.3
Madhya Pradesh,Ashoknagar,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,42.8,42.5
Madhya Pradesh,Ashoknagar,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,32.7,31.2
Madhya Pradesh,Ashoknagar,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,11.6,10.8
Madhya Pradesh,Ashoknagar,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,47.7,46.3
Madhya Pradesh,Ashoknagar,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,32.1,30.1
Madhya Pradesh,Ashoknagar,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,37.8,36
Madhya Pradesh,Ashoknagar,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,8.3,10
Madhya Pradesh,Ashoknagar,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,6.6,6.4
Madhya Pradesh,Ashoknagar,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,62.1,60.2
Madhya Pradesh,Ashoknagar,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,42.5,42.5
Madhya Pradesh,Ashoknagar,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,38.4,39.7
Madhya Pradesh,Ashoknagar,Rural,All women age 15-49 years who are anaemic (%),NA,42.2,42.3
Madhya Pradesh,Ashoknagar,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,22.9,23.1
Madhya Pradesh,Ashoknagar,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,1.6,1.8
Madhya Pradesh,Ashoknagar,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1,0.9
Madhya Pradesh,Ashoknagar,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,3.1,2.6
Madhya Pradesh,Ashoknagar,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.3,1.1
Madhya Pradesh,Ashoknagar,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,3.6,3.2
Madhya Pradesh,Ashoknagar,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.2,1.5
Madhya Pradesh,Ashoknagar,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.4,0.5
Madhya Pradesh,Ashoknagar,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,5.5,5
Madhya Pradesh,Ashoknagar,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0,0
Madhya Pradesh,Ashoknagar,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,0.5
Madhya Pradesh,Ashoknagar,Rural,Cervix (%),NA,36.7,37.2
Madhya Pradesh,Ashoknagar,Rural,Breast (%),NA,11.2,10.4
Madhya Pradesh,Ashoknagar,Rural,Oral cavity (%),NA,8.7,9
Madhya Pradesh,Balaghat,Rural,Population (female) age 6 years and above who ever attended school (%),NA,72.1,73.9
Madhya Pradesh,Balaghat,Rural,Population below age 15 years (%),NA,28.3,28
Madhya Pradesh,Balaghat,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,"1,073","1,067"
Madhya Pradesh,Balaghat,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,"1,046","1,038"
Madhya Pradesh,Balaghat,Rural,Children under age 5 years whose birth was registered (%),NA,84.4,84.2
Madhya Pradesh,Balaghat,Rural,Households with electricity (%),NA,87.2,88.2
Madhya Pradesh,Balaghat,Rural,Households with an improved drinking-water source1 (%),NA,73.1,76.2
Madhya Pradesh,Balaghat,Rural,Households using improved sanitation facility2 (%),NA,22,28.4
Madhya Pradesh,Balaghat,Rural,Households using clean fuel for cooking3 (%),NA,7.6,16.4
Madhya Pradesh,Balaghat,Rural,Households using iodized salt (%),NA,94.9,95.7
Madhya Pradesh,Balaghat,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,17.5,17.7
Madhya Pradesh,Balaghat,Rural,Women who are literate (%),NA,70.8,73.5
Madhya Pradesh,Balaghat,Rural,Men who are literate (%),NA,82.2,80.3
Madhya Pradesh,Balaghat,Rural,Women with 10 or more years of schooling (%),NA,23.4,28.2
Madhya Pradesh,Balaghat,Rural,Women age 20-24 years married before age 18 years (%),NA,9.7,8.6
Madhya Pradesh,Balaghat,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Balaghat,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,2.5,2.2
Madhya Pradesh,Balaghat,Rural,Any method4 (%),NA,57.8,58.2
Madhya Pradesh,Balaghat,Rural,Any modern method4 (%),NA,57.2,57.2
Madhya Pradesh,Balaghat,Rural,Female sterilization (%),NA,51.9,51.5
Madhya Pradesh,Balaghat,Rural,Male sterilization (%),NA,2.5,2.1
Madhya Pradesh,Balaghat,Rural,IUD/PPIUD (%),NA,0.5,0.5
Madhya Pradesh,Balaghat,Rural,Pill (%),NA,0.6,0.6
Madhya Pradesh,Balaghat,Rural,Condom (%),NA,1.8,2.4
Madhya Pradesh,Balaghat,Rural,Total unmet need (%),NA,9,10
Madhya Pradesh,Balaghat,Rural,Unmet need for spacing (%),NA,4.4,5.3
Madhya Pradesh,Balaghat,Rural,Health worker ever talked to female non-users about family planning (%),NA,21,21.5
Madhya Pradesh,Balaghat,Rural,Current users ever told about side effects of current method6 (%),NA,22.5,22.7
Madhya Pradesh,Balaghat,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,61.2,60.2
Madhya Pradesh,Balaghat,Rural,Mothers who had at least 4 antenatal care visits (%),NA,37.1,37.7
Madhya Pradesh,Balaghat,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,95,94.8
Madhya Pradesh,Balaghat,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,34.5,33.2
Madhya Pradesh,Balaghat,Rural,Mothers who had full antenatal care8 (%),NA,16.9,16
Madhya Pradesh,Balaghat,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,95.2,94.8
Madhya Pradesh,Balaghat,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,51,52.3
Madhya Pradesh,Balaghat,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,66.7,65.6
Madhya Pradesh,Balaghat,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,"1,585","1,613"
Madhya Pradesh,Balaghat,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,2.3,2.2
Madhya Pradesh,Balaghat,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,15.9,16.6
Madhya Pradesh,Balaghat,Rural,Institutional births (%),NA,82.1,83.7
Madhya Pradesh,Balaghat,Rural,Institutional births in public facility (%),NA,74.2,73.4
Madhya Pradesh,Balaghat,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,4.3,3.9
Madhya Pradesh,Balaghat,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,82.1,83.8
Madhya Pradesh,Balaghat,Rural,Births delivered by caesarean section (%),NA,11.9,14.7
Madhya Pradesh,Balaghat,Rural,Births in a private health facility delivered by caesarean section (%),NA,54.2,57.6
Madhya Pradesh,Balaghat,Rural,Births in a public health facility delivered by caesarean section (%),NA,10.3,12
Madhya Pradesh,Balaghat,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,60.7,64.6
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who have received BCG (%),NA,91.6,92.4
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,72.9,75.6
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,90.3,91.3
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who have received measles vaccine (%),NA,84.4,85.9
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,74.2,76.8
Madhya Pradesh,Balaghat,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,61,61.8
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,100
Madhya Pradesh,Balaghat,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Balaghat,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,5.2,5.6
Madhya Pradesh,Balaghat,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,*,*
Madhya Pradesh,Balaghat,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,*,*
Madhya Pradesh,Balaghat,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,*,*
Madhya Pradesh,Balaghat,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1.2,1.7
Madhya Pradesh,Balaghat,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,84,85.8
Madhya Pradesh,Balaghat,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,52.3,52.2
Madhya Pradesh,Balaghat,Rural,Children under age 6 months exclusively breastfed10 (%),NA,68.6,67.6
Madhya Pradesh,Balaghat,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Balaghat,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,4.6,8.2
Madhya Pradesh,Balaghat,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Balaghat,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,4.4,7.9
Madhya Pradesh,Balaghat,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,33.4,32.1
Madhya Pradesh,Balaghat,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,32.7,32.4
Madhya Pradesh,Balaghat,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,8.6,8.9
Madhya Pradesh,Balaghat,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,42.6,41.5
Madhya Pradesh,Balaghat,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,44.9,42.4
Madhya Pradesh,Balaghat,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,43.9,39.9
Madhya Pradesh,Balaghat,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,5.4,7.4
Madhya Pradesh,Balaghat,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,1.7,2.1
Madhya Pradesh,Balaghat,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,70.4,69.2
Madhya Pradesh,Balaghat,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,70.4,68.8
Madhya Pradesh,Balaghat,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,61.4,62.2
Madhya Pradesh,Balaghat,Rural,All women age 15-49 years who are anaemic (%),NA,70,68.6
Madhya Pradesh,Balaghat,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,38.7,38.8
Madhya Pradesh,Balaghat,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.5,4.6
Madhya Pradesh,Balaghat,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,2.1,2.2
Madhya Pradesh,Balaghat,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,5.5,6.9
Madhya Pradesh,Balaghat,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1,1.6
Madhya Pradesh,Balaghat,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,6.1,5.7
Madhya Pradesh,Balaghat,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.5,1.7
Madhya Pradesh,Balaghat,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.2,0.2
Madhya Pradesh,Balaghat,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.8,8.6
Madhya Pradesh,Balaghat,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0,0
Madhya Pradesh,Balaghat,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,0
Madhya Pradesh,Balaghat,Rural,Cervix (%),NA,8.9,10.3
Madhya Pradesh,Balaghat,Rural,Breast (%),NA,4.1,5.2
Madhya Pradesh,Balaghat,Rural,Oral cavity (%),NA,7.9,8.8
Madhya Pradesh,Barwani,Rural,Population (female) age 6 years and above who ever attended school (%),NA,45.4,51.5
Madhya Pradesh,Barwani,Rural,Population below age 15 years (%),NA,39.5,36.5
Madhya Pradesh,Barwani,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,998,"1,009"
Madhya Pradesh,Barwani,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,849,885
Madhya Pradesh,Barwani,Rural,Children under age 5 years whose birth was registered (%),NA,49.2,53.4
Madhya Pradesh,Barwani,Rural,Households with electricity (%),NA,88.3,90.2
Madhya Pradesh,Barwani,Rural,Households with an improved drinking-water source1 (%),NA,81.5,84.6
Madhya Pradesh,Barwani,Rural,Households using improved sanitation facility2 (%),NA,11.3,21.3
Madhya Pradesh,Barwani,Rural,Households using clean fuel for cooking3 (%),NA,9.8,22
Madhya Pradesh,Barwani,Rural,Households using iodized salt (%),NA,97.4,97.6
Madhya Pradesh,Barwani,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,24.9,27.4
Madhya Pradesh,Barwani,Rural,Women who are literate (%),NA,32.5,42.3
Madhya Pradesh,Barwani,Rural,Men who are literate (%),NA,47.2,57.6
Madhya Pradesh,Barwani,Rural,Women with 10 or more years of schooling (%),NA,7.2,16
Madhya Pradesh,Barwani,Rural,Women age 20-24 years married before age 18 years (%),NA,50.3,42.2
Madhya Pradesh,Barwani,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Barwani,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,17.3,14.8
Madhya Pradesh,Barwani,Rural,Any method4 (%),NA,50.5,50.7
Madhya Pradesh,Barwani,Rural,Any modern method4 (%),NA,50.4,50.3
Madhya Pradesh,Barwani,Rural,Female sterilization (%),NA,47.3,45.2
Madhya Pradesh,Barwani,Rural,Male sterilization (%),NA,0,0.1
Madhya Pradesh,Barwani,Rural,IUD/PPIUD (%),NA,0.2,0.2
Madhya Pradesh,Barwani,Rural,Pill (%),NA,0.4,0.6
Madhya Pradesh,Barwani,Rural,Condom (%),NA,2.3,3.9
Madhya Pradesh,Barwani,Rural,Total unmet need (%),NA,8,8.9
Madhya Pradesh,Barwani,Rural,Unmet need for spacing (%),NA,4.9,5.3
Madhya Pradesh,Barwani,Rural,Health worker ever talked to female non-users about family planning (%),NA,17.9,19.3
Madhya Pradesh,Barwani,Rural,Current users ever told about side effects of current method6 (%),NA,23.5,21.8
Madhya Pradesh,Barwani,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,36.6,42.7
Madhya Pradesh,Barwani,Rural,Mothers who had at least 4 antenatal care visits (%),NA,22.8,26.3
Madhya Pradesh,Barwani,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,69.9,73.3
Madhya Pradesh,Barwani,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,17.7,20
Madhya Pradesh,Barwani,Rural,Mothers who had full antenatal care8 (%),NA,6.7,7.9
Madhya Pradesh,Barwani,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,89.6,91
Madhya Pradesh,Barwani,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,38.5,42.6
Madhya Pradesh,Barwani,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,72.2,65.6
Madhya Pradesh,Barwani,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,680,874
Madhya Pradesh,Barwani,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,3.1,3.1
Madhya Pradesh,Barwani,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,19.4,18.5
Madhya Pradesh,Barwani,Rural,Institutional births (%),NA,45.9,50.7
Madhya Pradesh,Barwani,Rural,Institutional births in public facility (%),NA,43.8,46.1
Madhya Pradesh,Barwani,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,3.1,2.8
Madhya Pradesh,Barwani,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,47.5,52
Madhya Pradesh,Barwani,Rural,Births delivered by caesarean section (%),NA,2.4,4.1
Madhya Pradesh,Barwani,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,25.6
Madhya Pradesh,Barwani,Rural,Births in a public health facility delivered by caesarean section (%),NA,4,6.4
Madhya Pradesh,Barwani,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,38.3,41.8
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who have received BCG (%),NA,75,77.3
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,49.6,53.1
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,51.1,55.7
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who have received measles vaccine (%),NA,60.9,62.3
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,42.3,44.7
Madhya Pradesh,Barwani,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,49,51.7
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,95.6,95.1
Madhya Pradesh,Barwani,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,1
Madhya Pradesh,Barwani,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,11.1,11.2
Madhya Pradesh,Barwani,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,53.1,54
Madhya Pradesh,Barwani,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,24.7,26.6
Madhya Pradesh,Barwani,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,77.9,77.9
Madhya Pradesh,Barwani,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1.9,1.9
